
---------------------Generation 0----------------------Generation 0----------------------Generation 0--------------------
Individual #57: 0011111011100001011101110101011101011100100001100010110101110110 || Fitness: 36 || Mutations: :;:;:;:
Individual #58: 0011000111111010011111101100110110110010101001111001100111110111 || Fitness: 40 || Mutations: :;:;:;:
Individual #59: 1101110011110100011010111010001001110110100101110101000101011010 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #60: 1000101001010110101101011110010010001011110100001110010111011010 || Fitness: 33 || Mutations: :;:;:;:
Individual #61: 0111110111100100101110111010000001110110111000100100011111011010 || Fitness: 36 || Mutations: :;:;:;:
Individual #62: 1001101100110101101011011101010001101111000001001110100100101001 || Fitness: 33 || Mutations: :;:;:;:
Individual #63: 1111001101000100000101111100010000011110110010010011011101110101 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #64: 0001000011111111101001111100111010111000101011010101001010000101 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #65: 1011101110011111100111011110111111011001100010011001000100011100 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #66: 1011000110001001100111011111111101001011000011111011100001100100 || Fitness: 35 || Mutations: :;:;:;:
Individual #67: 1001000111000011111001000110110111011111011110010101111000111111 || Fitness: 39 || Mutations: :;:;:;:
Individual #68: 0001000011110110010111011101000001000010111010011101101101011100 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #69: 1101100100010100100010000111011000010110110010001110111111111001 || Fitness: 33 || Mutations: :;:;:;:
Individual #70: 0001101001110110101001010111110101001010110101100100110011011010 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #71: 1001001001111110011001010011110110100010110101110101111101010110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #72: 0001111011011100111100111100100101110111001000001100011010010000 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #73: 0011001101010100010111011100000100010010101011011101100101111111 || Fitness: 34 || Mutations: :;:;:;:
Individual #74: 0001111110010000011001010110001101000011101001010010111000111110 || Fitness: 31 || Mutations: :;:;:;:
Individual #75: 1000010111111011111101100101111010010000000110101001000101110110 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #76: 1001010011011010110000000110010010010111011101010100010110111011 || Fitness: 32 || Mutations: :;:;:;:
Individual #77: 1010010101011010010110000111100100001111111001011110101110111010 || Fitness: 36 || Mutations: :;:;:;:
Individual #78: 0011000001011011011001010111010110010010100101101010111100111110 || Fitness: 34 || Mutations: Bit #47: 1->0
Individual #79: 0001001011111010101001001110110011001110101000111110101110101000 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #80: 0101011100011010111100000100101100100101001011010101111110110100 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #81: 0100001111001010000000011111001111110101011000000011111001110101 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #82: 0111011110000100011001011110000111100010101000010111011000111111 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #83: 0010111000011101100000110000011100001100001101011110010110110001 || Fitness: 29 || Mutations: :;:;:;:
Individual #84: 1100001011011100100110111001101111101010010110010011110101110010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #85: 1000101101111111001100011000100111100100011000101101111101001010 || Fitness: 34 || Mutations: :;:;:;:
Individual #86: 1010001101011010110110001111000101001111101101011110011110111110 || Fitness: 39 || Mutations: :;:;:;:
Individual #87: 0100010001001010111101110101011100011110010101111001000110010110 || Fitness: 33 || Mutations: :;:;:;:
Individual #88: 0110010001000011111101110111010100001110010101011001001000011110 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #89: 1000000110001001100101011100011111001011110000011011110111100000 || Fitness: 31 || Mutations: :;:;:;:
Individual #90: 1011111110001100011111011111111100111101101100011010111100111011 || Fitness: 44 || Mutations: :;:;:;:
Individual #91: 1001010110011000110110000110010100010111011100010101010110111011 || Fitness: 33 || Mutations: :;:;:;:
Individual #92: 1100100000110100101010000111001010010101101011001110111111111000 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #93: 1011111011100100010111011111110001100010101000011011111100111101 || Fitness: 39 || Mutations: :;:;:;:
Individual #94: 0011110111100110111100100001101001110111001000110010011001100100 || Fitness: 33 || Mutations: :;:;:;:
Individual #95: 1000011011011010110010000110010011100111111001010100010110110011 || Fitness: 33 || Mutations: :;:;:;:
Individual #96: 1101110011011100111010100110011011110110110001010100010110011011 || Fitness: 37 || Mutations: :;:;:;:
Individual #97: 1001010011101011100000000110110010011111011111010110010010111111 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #98: 0100010001010001010101101101011011101001011011001010111100010110 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #99: 1010010101011100010010000111000000000111111101011100111100111010 || Fitness: 32 || Mutations: :;:;:;:;:;
                                              Average Fitness: 32

                                     !!!!!!!!!!!!!!Best Individual!!!!!!!!!!!!!!!!
                      ----------------------------BitString----------------------------
                       0011011001011100101101101011111111010101110101111111001101011110
                      -----------------------------Fitness-----------------------------
                                                     42



---------------------Generation 1----------------------Generation 1----------------------Generation 1--------------------
Individual #0:  0011011001011100101101101011111111010101110101111111001101011110 || Fitness: 42 || Mutations: :;:;:;:;:;
Individual #1:  1101011101011111011010001110001001111010101011000100000110011101 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #2:  0111000001001111111001010011110110100010010101110101111101011110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #3:  1011101111001100110111011111110111010011100010011001010100011100 || Fitness: 38 || Mutations: :;:;:;:
Individual #4:  1111000110011001100111001111111101001010000010111011000011110100 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #5:  1010111011000001011101110111011111011100100000110010110011000110 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #6:  0011111110101000000010011111101110011010011110011100001100110011 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #7:  1010001111011010000110101101101111101010011000010011101111111010 || Fitness: 37 || Mutations: :;:;:;:
Individual #8:  0011110111100110101110100011111011110011000000011011011000001110 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #9:  1101100111010101011000110110100011111111111110110101100001111010 || Fitness: 40 || Mutations: :;:;:;:
Individual #10: 1100001010011011111110000011111011100100111000010101010011110111 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #11: 0110000001001111111001010111110110101010010101110001111101011110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #12: 0000010011001010100001000111110010010111111100111110110010011110 || Fitness: 33 || Mutations: Bit #13: 1->0
Individual #13: 1000100111011011110100010111000111010111111000111111011000011110 || Fitness: 38 || Mutations: :;:;:;:
Individual #14: 1001010011101100110000000110111011110111110111010110010110011111 || Fitness: 38 || Mutations: :;:;:;:
Individual #15: 1001101100011100100100000100011111001111110000111110011110101111 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #16: 1001110111100010100100101010010000011111111001010110011010111110 || Fitness: 35 || Mutations: :;:;:;:
Individual #17: 1000111011011100011000111111000100110111111001011100011110111000 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #18: 1000100101011110110100001110100101000111111101101101011100011010 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #19: 1011011100011100110100010100001101101011111100111100001111111011 || Fitness: 38 || Mutations: :;:;:;:
Individual #20: 1101110011010100011010110110001001110110110101110100010100011010 || Fitness: 34 || Mutations: :;:;:;:
Individual #21: 0110011001111111100011110001010100111110001011010010100100110101 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #22: 1000001001000001111110101011111011101101111100001110010011111100 || Fitness: 36 || Mutations: :;:;:;:
Individual #23: 1011111100011100010110011111111100011101101100011101011100111110 || Fitness: 41 || Mutations: :;:;:;:;:;
Individual #24: 0100011111111110101010111001101111010001110010101100100100110010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #25: 0100010101000010110100111110110100101110011001110000111111011110 || Fitness: 35 || Mutations: :;:;:;:
Individual #26: 0001010111111000011001010101111110010011100101111001000110110110 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #27: 1011110001101110111100101110110100011111010001110001011011111110 || Fitness: 40 || Mutations: :;:;:;:
Individual #28: 0101110001111100111110011110101000100110101011110101011101111110 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #29: 1001010111101101001001011101111101000101110011101100111100110000 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #30: 1010111001001111111011101011000011100010101110110100110111100110 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #31: 0011001001001100001101010110110110110011101001011001101100101111 || Fitness: 34 || Mutations: :;:;:;:
Individual #32: 1011101100011100110110001110011111011111100100011110011100111110 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #33: 1100000001011111101011010001110110100010010111010101111101010110 || Fitness: 35 || Mutations: :;:;:;:
Individual #34: 1000101001000001110100111011111010101001111110001110010111111000 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #35: 0100010111101111010100011011010111101100010011011011100011101111 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #36: 1111100101011101011110111111001001010001110101100101010100101010 || Fitness: 37 || Mutations: :;:;:;:
Individual #37: 1111011110001100010110010101001100111010011100111101001101110010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #38: 0110000001001111111001010111110110101010010101110001111101011110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #39: 1011100100001111010110010101011101001001110011101011110100101010 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #40: 1011110100001111100110010111011101001011101011101001110001101010 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #41: 1010111101011100010110011111101100001111101100011110011100111010 || Fitness: 39 || Mutations: :;:;:;:
Individual #42: 1010011111111100100000101001101111010001110000001100110101110110 || Fitness: 34 || Mutations: :;:;:;:
Individual #43: 0011011011101011011100100101101101101101101001100110110101110000 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #44: 1000001001000001111100111011111010101101111100001110010011111100 || Fitness: 35 || Mutations: :;:;:;:
Individual #45: 1001110011011100011010010111111001010100110001011100011100111010 || Fitness: 35 || Mutations: :;:;:;:
Individual #46: 1010100100001111111010010111111110101001110011101011110100001110 || Fitness: 38 || Mutations: :;:;:;:
Individual #47: 1011101001011000011101001110111100001111101000011110101110111010 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #48: 1000111001000100011000111110000100100110111001011000011110011100 || Fitness: 30 || Mutations: :;:;:;:
Individual #49: 0010011001001110101101110111110110010101110000111011101100001110 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #50: 0101100101110101111100110110100010111111111110110101110001111010 || Fitness: 41 || Mutations: :;:;:;:
Individual #51: 1011001101011100000111011110110100111011101001011101110100111111 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #52: 1010111001000001111001100011001011101000100000110110100011100110 || Fitness: 30 || Mutations: Bit #53: 1->0
Individual #53: 1111110111011100011010111111001001010101110001011100011100101010 || Fitness: 38 || Mutations: :;:;:;:
Individual #54: 1101010010001001100111110110111111110111100011010011110110001010 || Fitness: 38 || Mutations: :;:;:;:
Individual #55: 0011011011101111001001000101111101001101111011101110110101110000 || Fitness: 38 || Mutations: :;:;:;:
Individual #56: 1010111111111101100100101101111101011000011100011010011011010100 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #57: 0011111011100001011101110101011101011100100001100010110101110110 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #58: 0011000111111010011111101100110110110010101001111001100111110111 || Fitness: 40 || Mutations: :;:;:;:;:;
Individual #59: 1101110011110100011010111010001001110110100101110101000101011010 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #60: 1111001111010001101111101111111001001000001100001010000011110100 || Fitness: 34 || Mutations: :;:;:;:
Individual #61: 0111110111100100101110111010000001110110111000100100011111011010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #62: 1011111011100111011101010101011111011101111000111010110111010000 || Fitness: 41 || Mutations: :;:;:;:
Individual #63: 1111111011111101110011111010010000110110101101110000100100110000 || Fitness: 37 || Mutations: :;:;:;:
Individual #64: 0001111111101101000011011111101101001001010111011100011100110010 || Fitness: 37 || Mutations: :;:;:;:
Individual #65: 1011101110011111100111011110111111011001100010011001000100011100 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #66: 1011000110001001100111011111111101001011000011111011100001100100 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #67: 1001000111000011111001000110110111011111011110010101111000111111 || Fitness: 39 || Mutations: :;:;:;:;:;
Individual #68: 0011111111001110001001000101110101010111100010011100110101111000 || Fitness: 35 || Mutations: :;:;:;:
Individual #69: 0010111011011100101101010001110111100011000110010101110101111000 || Fitness: 35 || Mutations: :;:;:;:
Individual #70: 0001111110101000010001011111111110011011111101111001001100110010 || Fitness: 38 || Mutations: :;:;:;:
Individual #71: 1001001001111110011001010011110110100010110101110101111101010110 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #72: 0011111110001100000001010111100101011011110010011100011100110010 || Fitness: 33 || Mutations: :;:;:;:
Individual #73: 1110101111111001100110001111111101001010001000111011000011110100 || Fitness: 37 || Mutations: :;:;:;:
Individual #74: 0111101011001101011110010111001101011000110001100100110100110010 || Fitness: 34 || Mutations: Bit #22: 1->0
Individual #75: 1111110111011100011010111111001001010101110001011100011100101010 || Fitness: 38 || Mutations: :;:;:;:
Individual #76: 0010010111011000010110001110110110001011101000111110101111110011 || Fitness: 36 || Mutations: :;:;:;:
Individual #77: 1010010101011010010110000111100100001111111001011110101110111010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #78: 1111111110000100011101110101001100011110010100110001111001010110 || Fitness: 36 || Mutations: :;:;:;:
Individual #79: 1110111101001101111011101011001001010011110001010100111110100010 || Fitness: 37 || Mutations: :;:;:;:
Individual #80: 1101101101010111011000011110001001111110101010000100000101111110 || Fitness: 35 || Mutations: :;:;:;:
Individual #81: 1001010011011111011000000110111000011101111001010110010110111011 || Fitness: 36 || Mutations: :;:;:;:
Individual #82: 1100001111011100001110110001001100011010010100010011110001110010 || Fitness: 31 || Mutations: :;:;:;:
Individual #83: 1000010111011011010000000111100001010101111001010111010100111111 || Fitness: 34 || Mutations: :;:;:;:
Individual #84: 1100001011011100100110111001101111101010010110010011110101110010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #85: 1011111001111101110001101010010100010110100101110000101000110000 || Fitness: 32 || Mutations: :;:;:;:
Individual #86: 1010001101011010110110001111000101001111101101011110011110111110 || Fitness: 39 || Mutations: :;:;:;:;:;
Individual #87: 1010001001001011111001011011110111101011111100011110110101011100 || Fitness: 39 || Mutations: :;:;:;:
Individual #88: 1011111001011100000110011110110100111111101001111001011100111110 || Fitness: 40 || Mutations: :;:;:;:
Individual #89: 0100111111110100001010111010101111110000110100110101100100011010 || Fitness: 35 || Mutations: :;:;:;:
Individual #90: 1011111110001100011111011111111100111101101100011010111100111011 || Fitness: 44 || Mutations: :;:;:;:;:;
Individual #91: 1011010010011111110110000110111011111111110110011100010110011111 || Fitness: 42 || Mutations: :;:;:;:
Individual #92: 1000111011011100011001101111001100010011111001011100011110111000 || Fitness: 36 || Mutations: Bit #15: 0->0
Individual #93: 1011111011100100010111011111110001100010101000011011111100111101 || Fitness: 39 || Mutations: :;:;:;:;:;
Individual #94: 0000111111001000011010111111101100011111011001011100001100110000 || Fitness: 34 || Mutations: :;:;:;:
Individual #95: 1010001001001101111001110011110010101011111101110010011011111100 || Fitness: 38 || Mutations: :;:;:;:
Individual #96: 1101110011011100111010100110011011110110110001010100010110011011 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #97: 1001010011101011100000000110110010011111011111010110010010111111 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #98: 0000011110111000010010011101111110011011101100111010001100110010 || Fitness: 34 || Mutations: Bit #26: 1->0
Individual #99: 0111111001001101111011010011011110000011110101010100111101111010 || Fitness: 39 || Mutations: Bit #24: 1->0
                                              Average Fitness: 35

                                     !!!!!!!!!!!!!!Best Individual!!!!!!!!!!!!!!!!
                      ----------------------------BitString----------------------------
                       1011111110001100011111011111111100111101101100011010111100111011
                      -----------------------------Fitness-----------------------------
                                                     44



---------------------Generation 2----------------------Generation 2----------------------Generation 2--------------------
